CURVENO,SUBMU,FU,SI,AC10,PW,PR,PJ,SB,SW,BF,CE,OC,HE,PO,PB,BW,MH,QR,YB,OH
8,patnt,PW1,Prsnt,45,32.63,1.51,1.21,2.92,6.78,2.30,0.91,0.00,0.00,5.03,0.00,8.13,0.00,0.00,0.00,0.10
8,patnt,PW1,Prsnt,55,46.70,2.17,1.60,3.40,8.00,2.62,1.01,0.00,0.00,6.90,0.00,11.53,0.00,0.00,0.00,0.14
8,patnt,PW1,Prsnt,65,61.07,2.87,1.95,3.71,8.86,2.81,1.09,0.00,0.00,8.55,0.00,14.88,0.00,0.00,0.00,0.18
8,patnt,PW1,Prsnt,75,75.06,3.57,2.25,3.92,9.46,2.92,1.13,0.00,0.00,9.89,0.00,18.02,0.00,0.00,0.00,0.22
8,patnt,PW1,Prsnt,85,88.24,4.25,2.48,4.09,9.90,3.00,1.16,0.00,0.00,10.90,0.00,20.85,0.00,0.00,0.00,0.26
8,patnt,PW1,Prsnt,95,100.39,4.91,2.66,4.22,10.24,3.04,1.18,0.00,0.00,11.61,0.00,23.33,0.00,0.00,0.00,0.29
8,patnt,PW1,Prsnt,105,111.37,5.54,2.78,4.34,10.53,3.07,1.18,0.00,0.00,12.05,0.00,25.45,0.00,0.00,0.00,0.32
8,patnt,PW1,Prsnt,115,121.14,6.14,2.85,4.44,10.78,3.09,1.17,0.00,0.00,12.28,0.00,27.23,0.00,0.00,0.00,0.35
8,patnt,PW1,Prsnt,125,129.70,6.71,2.87,4.53,11.01,3.09,1.16,0.00,0.00,12.34,0.00,28.69,0.00,0.00,0.00,0.38
8,patnt,PW1,Prsnt,135,137.07,7.24,2.84,4.62,11.23,3.09,1.14,0.00,0.00,12.28,0.00,29.86,0.00,0.00,0.00,0.40
8,patnt,PW1,Prsnt,145,143.28,7.74,2.78,4.70,11.43,3.09,1.11,0.00,0.00,12.13,0.00,30.77,0.00,0.00,0.00,0.42
8,patnt,PW1,Prsnt,155,148.40,8.21,2.69,4.78,11.63,3.08,1.08,0.00,0.00,11.92,0.00,31.46,0.00,0.00,0.00,0.44
8,patnt,PW1,Prsnt,165,152.50,8.65,2.58,4.86,11.82,3.06,1.04,0.00,0.00,11.67,0.00,31.94,0.00,0.00,0.00,0.45
8,patnt,PW1,Prsnt,175,155.63,9.06,2.45,4.94,12.00,3.04,1.01,0.00,0.00,11.38,0.00,32.25,0.00,0.00,0.00,0.46
8,patnt,PW1,Prsnt,185,157.89,9.43,2.31,5.01,12.18,3.02,0.97,0.00,0.00,11.07,0.00,32.42,0.00,0.00,0.00,0.47
8,patnt,PW1,Prsnt,195,159.33,9.78,2.16,5.08,12.35,3.00,0.92,0.00,0.00,10.76,0.00,32.45,0.00,0.00,0.00,0.48
8,patnt,PW1,Prsnt,205,160.05,10.10,2.01,5.14,12.51,2.97,0.88,0.00,0.00,10.43,0.00,32.38,0.00,0.00,0.00,0.48
8,patnt,PW1,Prsnt,215,160.11,10.40,1.86,5.21,12.67,2.94,0.84,0.00,0.00,10.10,0.00,32.22,0.00,0.00,0.00,0.48
8,patnt,PW1,Prsnt,225,159.59,10.67,1.71,5.27,12.82,2.90,0.80,0.00,0.00,9.77,0.00,31.98,0.00,0.00,0.00,0.48
8,patnt,PW1,Prsnt,235,158.54,10.91,1.57,5.32,12.96,2.87,0.75,0.00,0.00,9.44,0.00,31.67,0.00,0.00,0.00,0.48
8,patnt,PW1,Prsnt,245,157.04,11.14,1.43,5.38,13.09,2.83,0.71,0.00,0.00,9.11,0.00,31.31,0.00,0.00,0.00,0.48
8,patnt,PW1,Prsnt,255,155.15,11.35,1.31,5.43,13.22,2.79,0.67,0.00,0.00,8.79,0.00,30.91,0.00,0.00,0.00,0.48
9,3e,PW1,Exten,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9,3e,PW1,Exten,15,2.61,0.14,0.32,0.33,1.34,0.28,0.38,0.00,0.00,0.46,0.00,0.82,0.00,0.00,0.00,0.02
9,3e,PW1,Exten,25,8.67,0.46,0.92,1.21,3.61,1.00,0.61,0.00,0.00,1.60,0.00,2.79,0.00,0.00,0.00,0.06
9,3e,PW1,Exten,35,17.91,0.95,1.69,2.24,5.97,1.81,0.80,0.00,0.00,3.28,0.00,5.78,0.00,0.00,0.00,0.13
9,3e,PW1,Exten,45,29.45,1.57,2.53,3.04,7.94,2.39,0.95,0.00,0.00,5.24,0.00,9.45,0.00,0.00,0.00,0.21
9,3e,PW1,Exten,55,42.23,2.27,3.34,3.55,9.40,2.73,1.06,0.00,0.00,7.20,0.00,13.41,0.00,0.00,0.00,0.30
9,3e,PW1,Exten,65,55.31,3.00,4.08,3.87,10.41,2.93,1.14,0.00,0.00,8.93,0.00,17.34,0.00,0.00,0.00,0.38
9,3e,PW1,Exten,75,68.03,3.73,4.70,4.10,11.13,3.06,1.19,0.00,0.00,10.34,0.00,21.02,0.00,0.00,0.00,0.47
9,3e,PW1,Exten,85,80.00,4.45,5.20,4.27,11.65,3.14,1.22,0.00,0.00,11.40,0.00,24.33,0.00,0.00,0.00,0.55
9,3e,PW1,Exten,95,91.01,5.14,5.57,4.42,12.05,3.19,1.23,0.00,0.00,12.14,0.00,27.22,0.00,0.00,0.00,0.62
9,3e,PW1,Exten,105,100.94,5.79,5.82,4.54,12.39,3.21,1.23,0.00,0.00,12.60,0.00,29.69,0.00,0.00,0.00,0.68
